Close Datetime,Datetime,Type,Limit,SL,TP,Return,Currency Pair,Column1
15/09/2023 10:45,15/09/2023 9:15,BUY,1.0666,1.0658,1.0691,-1,EURUSD,Should be sell?
07/09/2023 10:30,07/09/2023 8:15,BUY,1.0712,1.0705,1.0732,-1,EURUSD,60 mins out
29/08/2023 12:00,29/08/2023 9:00,BUY,1.0813,1.0802,1.0846,-1,EURUSD,Should Check if H4 level sets if high/low on same bar
29/08/2023 12:15,28/08/2023 13:30,BUY,1.0807,1.0796000000000001,1.084,-1,EURUSD,Cant tell what 15min liquidity is taken
15/08/2023 12:30,15/08/2023 9:45,SELL,1.0936,1.0948,1.09,3,EURUSD,
15/08/2023 9:30,15/08/2023 8:45,SELL,1.0928,1.0937,1.0899,-1,EURUSD,"Cant see 15 min liquidity, Might be there"
09/08/2023 14:00,09/08/2023 13:30,SELL,1.0979,1.0991,1.0943,-1,EURUSD,Extended entry? 15mins out.
26/06/2023 11:30,23/06/2023 14:45,BUY,1.0885,1.0876000000000001,1.0912,3,EURUSD,"Where is 07/2023? Might be useful to identify the level/date liquidity which is taken. Maybe some indication of extended, delayed or normal entry?"
27/04/2023 12:30,27/04/2023 8:30,SELL,1.105,1.1062,1.1013,3,EURUSD,"Where is 05/2023?, Not sure about the tag in? Where is it, would be useful to be able to identify."
26/04/2023 8:45,26/04/2023 8:30,SELL,1.1031,1.1043,1.0996,-1,EURUSD,Is in dead zone. Cant tell what 15min liquidity is taken
24/04/2023 12:45,24/04/2023 9:30,SELL,1.1016,1.1023,1.0995,-1,EURUSD,"30 mins out? From extended enty? Idk about 4h levels, is it updating right?"
12/04/2023 12:30,12/04/2023 10:00,SELL,1.0927,1.0938999999999999,1.089,-1,EURUSD,Cant tell what 15min liquidity is taken
12/04/2023 5:30,11/04/2023 14:00,SELL,1.0921,1.0931,1.0893,-1,EURUSD,
07/04/2023 12:30,07/04/2023 10:00,BUY,1.0914,1.0907,1.0937,-1,EURUSD,
07/04/2023 12:30,07/04/2023 9:00,BUY,1.0915,1.0908,1.0937,-1,EURUSD,
